Date,ClosingPrice
01/05/1997,1.5
01/06/1997,1.541667
01/07/1997,2.395833
01/08/1997,2.338542
01/09/1997,4.338542
01/10/1997,5.083333
01/11/1997,4.125
01/12/1997,5.020833
01/01/1998,4.916667
01/02/1998,6.416667
01/03/1998,7.1276
01/04/1998,7.645833
01/05/1998,7.34375
01/06/1998,16.625
01/07/1998,18.479166
01/08/1998,13.958333
01/09/1998,18.604166
01/10/1998,21.072916
01/11/1998,32
01/12/1998,53.541668
01/01/1999,58.46875
01/02/1999,64.0625
01/03/1999,86.09375
01/04/1999,86.03125
01/05/1999,59.375
01/06/1999,62.5625
01/07/1999,50.03125
01/08/1999,62.1875
01/09/1999,79.9375
01/10/1999,70.625
01/11/1999,85.0625
01/12/1999,76.125
01/01/2000,64.5625
01/02/2000,68.875
01/03/2000,67
01/04/2000,55.1875
01/05/2000,48.3125
01/06/2000,36.3125
01/07/2000,30.125
01/08/2000,41.5
01/09/2000,38.4375
01/10/2000,36.625
01/11/2000,24.6875
01/12/2000,15.5625
01/01/2001,17.3125
01/02/2001,10.1875
01/03/2001,10.23
01/04/2001,15.78
01/05/2001,16.690001
01/06/2001,14.15
01/07/2001,12.49
01/08/2001,8.94
01/09/2001,5.97
01/10/2001,6.98
01/11/2001,11.32
01/12/2001,10.82
01/01/2002,14.19
01/02/2002,14.1
01/03/2002,14.3
01/04/2002,16.690001
01/05/2002,18.23
01/06/2002,16.25
01/07/2002,14.45
01/08/2002,14.94
01/09/2002,15.93
01/10/2002,19.360001
01/11/2002,23.35
01/12/2002,18.889999
01/01/2003,21.85
01/02/2003,22.01
01/03/2003,26.030001
01/04/2003,28.690001
01/05/2003,35.889999
01/06/2003,36.32
01/07/2003,41.639999
01/08/2003,46.32
01/09/2003,48.43
01/10/2003,54.43
01/11/2003,53.970001
01/12/2003,52.619999
01/01/2004,50.400002
01/02/2004,43.009998
01/03/2004,43.279999
01/04/2004,43.599998
01/05/2004,48.5
01/06/2004,54.400002
01/07/2004,38.919998
01/08/2004,38.139999
01/09/2004,40.860001
01/10/2004,34.130001
01/11/2004,39.68
01/12/2004,44.290001
01/01/2005,43.220001
01/02/2005,35.18
01/03/2005,34.27
01/04/2005,32.360001
01/05/2005,35.509998
01/06/2005,33.09
01/07/2005,45.150002
01/08/2005,42.700001
01/09/2005,45.299999
01/10/2005,39.860001
01/11/2005,48.459999
01/12/2005,47.150002
01/01/2006,44.82
01/02/2006,37.439999
01/03/2006,36.529999
01/04/2006,35.209999
01/05/2006,34.610001
01/06/2006,38.68
01/07/2006,26.889999
01/08/2006,30.83
01/09/2006,32.119999
01/10/2006,38.09
01/11/2006,40.34
01/12/2006,39.459999
01/01/2007,37.669998
01/02/2007,39.139999
01/03/2007,39.790001
01/04/2007,61.330002
01/05/2007,69.139999
01/06/2007,68.410004
01/07/2007,78.540001
01/08/2007,79.910004
01/09/2007,93.150002
01/10/2007,89.150002
01/11/2007,90.559998
01/12/2007,92.639999
01/01/2008,77.699997
01/02/2008,64.470001
01/03/2008,71.300003
01/04/2008,78.629997
01/05/2008,81.620003
01/06/2008,73.330002
01/07/2008,76.339996
01/08/2008,80.809998
01/09/2008,72.760002
01/10/2008,57.240002
01/11/2008,42.700001
01/12/2008,51.279999
01/01/2009,58.82
01/02/2009,64.790001
01/03/2009,73.440002
01/04/2009,80.519997
01/05/2009,77.989998
01/06/2009,83.660004
01/07/2009,85.760002
01/08/2009,81.190002
01/09/2009,93.360001
01/10/2009,118.809998
01/11/2009,135.910004
01/12/2009,134.520004
01/01/2010,125.410004
01/02/2010,118.400002
01/03/2010,135.770004
01/04/2010,137.100006
01/05/2010,125.459999
01/06/2010,109.260002
01/07/2010,117.889999
01/08/2010,124.830002
01/09/2010,157.059998
01/10/2010,165.229996
01/11/2010,175.399994
01/12/2010,180
01/01/2011,169.639999
01/02/2011,173.289993
01/03/2011,180.130005
01/04/2011,195.809998
01/05/2011,196.690002
01/06/2011,204.490005
01/07/2011,222.520004
01/08/2011,215.229996
01/09/2011,216.229996
01/10/2011,213.509995
01/11/2011,192.289993
01/12/2011,173.100006
01/01/2012,194.440002
01/02/2012,179.690002
01/03/2012,202.509995
01/04/2012,231.899994
01/05/2012,212.910004
01/06/2012,228.350006
01/07/2012,233.300003
01/08/2012,248.270004
01/09/2012,254.320007
01/10/2012,232.889999
01/11/2012,252.050003
01/12/2012,250.869995
01/01/2013,265.5
01/02/2013,264.269989
01/03/2013,266.48999
01/04/2013,253.809998
01/05/2013,269.200012
01/06/2013,277.690002
01/07/2013,301.220001
01/08/2013,280.980011
01/09/2013,312.640015
01/10/2013,364.029999
01/11/2013,393.619995
01/12/2013,398.790009
01/01/2014,358.690002
01/02/2014,362.100006
01/03/2014,336.369995
01/04/2014,304.130005
01/05/2014,312.549988
01/06/2014,324.779999
01/07/2014,312.98999
01/08/2014,339.040009
01/09/2014,322.440002
01/10/2014,305.459991
01/11/2014,338.640015
01/12/2014,310.350006
01/01/2015,354.529999
01/02/2015,380.160004
01/03/2015,372.100006
01/04/2015,421.779999
01/05/2015,429.230011
01/06/2015,434.089996
01/07/2015,536.150024
01/08/2015,512.890015
01/09/2015,511.890015
01/10/2015,625.900024
01/11/2015,664.799988
01/12/2015,675.890015
01/01/2016,587
01/02/2016,552.52002
01/03/2016,593.640015
01/04/2016,659.590027
01/05/2016,722.789978
01/06/2016,715.619995
01/07/2016,758.809998
01/08/2016,769.159973
01/09/2016,837.309998
01/10/2016,789.820007
01/11/2016,750.570007
01/12/2016,768.659973
01/01/2017,823.47998
